id;contenu_co2;contenu_co2_acv;taux_enr
6109C;0.106;0.13;0.551
6103C;0.098;0.124;0.605
6102C;0.054;0.078;0.802
6104C;0.017;0.039;0.93
6105C;0.031;0.056;0.863
6209C;0.088;0.105;0.632
6213C;0;0.022;1
6202C;0.099;0.126;0.642
6210C;0.121;0.164;0.473
6201C;0.201;0.254;0
6204C;0.105;0.137;0.61
6211C;0.098;0.152;0.369
6207C;0.135;0.165;0.521
6203C;0.023;0.043;0.912
6206C;0.224;0.25;0.115
6205C;0.195;0.381;0
6212C;0.143;0.324;0
6215C;0;0.004;1
6310C;0;0.021;1
6315C;0;0.026;1
6312C;0;0.03;1
6304C;0.213;0.248;0
6303C;0.231;0.253;0
6306C;0.074;0.127;0.586
6308C;0.025;0.047;0.905
6314C;0;0.027;1
6309C;0.077;0.116;0.817
6301C;0.02;0.043;0.929
6305C;0.007;0.038;0.985
6307C;0.239;0.268;0
6311C;0;0.027;1
6402C;0.044;0.069;0.828
6401C;0.027;0.049;0.895
6403C;0.047;0.061;0.822
6501C;0.069;0.097;0.752
6601C;0;0.022;1
6604C;0.006;0.01;0.983
6716C;0;0.029;1
6727C;0.103;0.274;0
6710C;0.06;0.081;0.727
6714C;0;0.004;1
6739C;0.088;0.255;0
6717C;0;0.021;1
6713C;0.086;0.156;0.543
6726C;0.138;0.316;0.8
6711C;0.051;0.078;0.809
6715C;0.05;0.072;0.78
6741C;0.16;0.366;0
6723C;0;0.015;1
6712C;0;0.025;1
6732C;0.134;0.202;0
6709C;0.204;0.27;0
6728C;0.073;0.048;0.658
6731C;0.108;0.164;0.392
6736C;0;0.004;1
6737C;0;0.004;1
6724C;0.035;0.056;0.859
6702C;0.16;0.251;0
6703C;0.081;0.103;0.694
6704C;0.059;0.031;0.691
6705C;0.128;0.122;0.433
6708C;0.033;0.053;0.848
6722C;0.067;0.089;0.678
6725C;0.027;0.041;0.898
6730C;0.092;0.079;0.547
6733C;0.011;0.11;0.571
6735C;0.004;0.023;0.981
6738C;0.009;0.021;0.962
6815C;0;0.004;1
6812C;0;0.004;1
6802C;0.085;0.115;0.562
6806C;0.077;0.104;0.724
6801C;0.053;0.068;0.843
6813C;0.155;0.197;0.491
6820C;0;0.022;1
6817C;0;0.022;1
6809C;0;0.022;1
6821C;0;0.004;1
6814C;0.11;0.135;0.571
6818C;0;0.025;1
6803C;0.272;0.305;0
6810C;0.037;0.062;0.865
6822C;0.067;0.078;0.795
6819C;0.043;0.066;0.858
6804C;0;0.042;0.953
6816C;0.005;0.023;0.982
6904C;0.097;0.14;0.524
6940C;0;0.03;1
6929C;0.116;0.266;0
6933C;0.035;0.058;0.872
6912C;0.053;0.073;0.785
6918C;0.079;0.097;0.707
6928C;0.075;0.1;0.796
6923C;0.165;0.192;0.342
6935C;0;0.022;1
6934C;0;0.022;1
6939C;0.066;0.102;0.846
6905C;0.091;0.112;0.621
6915C;0.207;0.233;0
6930C;0.02;0.029;0.934
6936C;0.043;0.074;0.889
6914C;0.23;0.246;0
6921C;0.232;0.248;0
6937C;0.002;0.028;0.996
6941C;0.138;0.182;0.653
6938C;0.059;0.084;0.793
6932C;0.088;0.115;0.697
6906C;0.079;0.108;0.649
6901C;0.122;0.14;0.518
6931C;0.012;0.02;0.956
6913C;0.013;0.021;0.951
6924C;0.071;0.106;0.802
6925C;0.131;0.18;0.767
7003C;0;0.038;1
7006C;0;0.037;1
7004C;0.142;0.194;0.756
7001C;0.085;0.112;0.715
7009C;0;0.022;1
7011C;0.046;0.075;0.87
7008C;0.072;0.108;0.861
7002C;0.007;0.034;0.982
7007C;0.171;0.221;0.559
7104C;0.086;0.125;0.6
7101C;0.1;0.122;0.617
7107C;0.066;0.101;0.685
7108C;0.042;0.071;0.888
7102C;0.109;0.141;0.593
7109C;0.069;0.102;0.809
7105C;0.008;0.031;0.978
7203C;0.027;0.033;0.9
7204C;0.212;0.265;0
7206C;0.025;0.051;0.916
7202C;0.223;0.255;0
7205C;0;0.017;1
7315C;0.06;0.083;0.761
7319C;0.016;0.04;0.941
7320C;0.045;0.068;0.84
7308C;0.015;0.04;0.957
7305C;0.039;0.066;0.889
7301C;0.079;0.099;0.7
7310C;0;0.022;1
7313C;0;0.022;1
7311C;0.073;0.103;0.764
7314C;0;0.023;1
7304C;0.067;0.099;0.803
7307C;0.068;0.096;0.762
7316C;0.036;0.072;0.932
7321C;0.063;0.095;0.826
7318C;0.053;0.077;0.811
7312C;0;0.023;1
7421C;0.045;0.067;0.798
7403C;0.037;0.059;0.851
7475C;0.218;0.242;0
7476C;0.202;0.243;0
7409C;0.318;0.334;0
7413C;0.207;0.241;0.455
7408C;0.091;0.187;0.401
7427C;0.02;0.051;0.958
7424C;0.069;0.096;0.765
7410C;0.029;0.056;0.895
7426C;0.005;0.03;0.988
7412C;0.103;0.069;0.557
7423C;0.012;0.034;0.954
7428C;0.06;0.091;0.83
7411C;0.255;0.256;0
7402C;0.043;0.052;0.831
7407C;0.228;0.257;0
7418C;0;0.004;1
7419C;0;0.004;1
7422C;0.064;0.099;0.833
7417C;0.041;0.065;0.864
7416C;0.008;0.035;0.984
7501C;0.143;0.171;0.527
7504C;0.145;0.177;0.527
7511C;0.115;0.244;0.073
7606C;0.05;0.074;0.796
7609C;0.234;0.266;0
7610C;0.018;0.042;0.945
7620C;0;0.004;1
7602C;0.084;0.127;0.518
7603C;0.288;0.279;0
7613C;0.226;0.254;0
7607C;0.059;0.083;0.704
7615C;0.017;0.039;0.937
7605C;0.072;0.096;0.728
7617C;0.075;0.102;0.764
7616C;0.024;0.049;0.925
7601C;0.097;0.145;0.474
7612C;0.219;0.246;0
7614C;0.013;0.034;0.948
7619C;0.107;0.086;0.499
7608C;0.009;0.033;0.963
7621C;0;0.004;1
7618C;0;0.004;1
7707C;0.232;0.261;0
7721C;0.042;0.05;0.87
7724C;0.116;0.142;0.54
7727C;0.032;0.04;0.861
7717C;0.1;0.127;0.574
7723C;0.175;0.234;0.471
7725C;0.129;0.147;0.44
7711C;0.013;0.03;0.945
7706C;0.023;0.04;0.898
7708C;0.074;0.094;0.693
7726C;0.123;0.146;0.435
7701C;0.089;0.11;0.665
7703C;0.049;0.062;0.788
7715C;0.014;0.028;0.946
7705C;0.074;0.099;0.729
7704C;0.115;0.137;0.369
7718C;0.093;0.118;0.63
7716C;0.033;0.051;0.86
7710C;0.079;0.105;0.788
7722C;0;0.016;0.999
7806C;0.116;0.143;0.545
7818C;0.226;0.254;0
7816C;0.076;0.178;0.376
7811C;0.009;0.014;0.964
7807C;0.21;0.255;0
7801C;0.335;0.375;0
7813C;0;0.022;1
7804C;0.225;0.254;0
7808C;0.106;0.133;0.589
7802C;0.098;0.129;0.569
7812C;0.043;0.052;0.828
7805C;0.077;0.106;0.643
7820C;0.045;0.024;0.753
7809C;0.111;0.166;0.326
7803C;0.094;0.298;0
7904C;0;0.017;1
7906C;0;0.036;1
7901C;0.261;0.288;0
7903C;0;0.019;1
8005C;0.103;0.129;0.593
8001C;0.078;0.104;0.628
8002C;0.072;0.124;0.519
8006C;0.007;0.027;0.969
8106C;0.049;0.078;0.857
8101C;0.2;0.243;0
8103C;0.034;0.057;0.873
8104C;0.055;0.079;0.789
8105C;0.035;0.058;0.876
8112C;0.003;0.024;0.992
8102C;0.051;0.075;0.82
8113C;0.014;0.04;0.965
8202C;0;0.022;1
8201C;0.013;0.019;0.951
8204C;0;0.022;1
8305C;0;0.022;1
8304C;0;0.004;1
8306C;0.362;0.439;0
8307C;0.082;0.133;0.483
8301C;0;0.004;1
8401C;0.094;0.238;0
8404C;0;0.004;1
8405C;0;0.004;1
8501C;0.205;0.231;0
8502C;0.073;0.105;0.787
8503C;0;0.019;1
8606C;0.11;0.248;0
8607C;0.198;0.214;0.355
8605C;0.075;0.11;0.802
8601C;0.091;0.116;0.652
8608C;0.206;0.224;0
8610C;0.058;0.086;0.783
8703C;0.231;0.259;0
8701C;0;0.093;0.718
8702C;0.002;0.006;0.993
8704C;0.108;0.27;0
8707C;0.041;0.064;0.843
8816C;0;0.034;1
8819C;0;0.02;1
8801C;0;0.071;0.873
8807C;0.124;0.152;0.501
8811C;0;0.019;1
8805C;0.012;0.033;0.955
8817C;0;0.024;1
8808C;0.114;0.154;0.734
8809C;0.07;0.101;0.794
8806C;0.045;0.072;0.856
8820C;0.012;0.017;0.963
8802C;0.048;0.094;0.675
8818C;0;0.039;1
8821C;0.053;0.086;0.878
8815C;0.032;0.06;0.877
8812C;0.009;0.03;0.971
8814C;0.099;0.134;0.639
8902C;0.06;0.087;0.753
8904C;0;0.018;1
8901C;0.034;0.048;0.878
9002C;0.112;0.201;0.26
9122C;0.033;0.055;0.869
9106C;0.065;0.089;0.749
9108C;0.167;0.169;0.407
9107C;0.259;0.312;0
9114C;0.076;0.096;0.707
9103C;0.099;0.119;0.562
9105C;0.121;0.176;0.221
9118C;0.062;0.082;0.713
9102C;0.064;0.086;0.692
9101C;0.064;0.08;0.809
9121C;0.064;0.088;0.721
9125C;0.114;0.116;0.503
9115C;0.03;0.049;0.865
9123C;0.119;0.112;0.467
9104C;0.169;0.214;0
9109C;0.037;0.056;0.859
9119C;0;0.004;1
9120C;0.206;0.249;0
9236C;0.093;0.107;0.574
9219C;0.12;0.135;0.59
9209C;0.213;0.26;0
9242C;0.091;0.115;0.642
9235C;0.119;0.196;0.458
9202C;0.258;0.29;0
9233C;0.115;0.141;0.525
9224C;0.098;0.141;0.375
9225C;0.104;0.203;0.385
9205C;0.081;0.114;0.65
9234C;0.103;0.092;0.579
9217C;0.18;0.27;0.143
9211C;0.162;0.197;0.527
9201C;0.237;0.272;0
9204C;0.113;0.121;0.311
9232C;0.08;0.105;0.67
9237C;0.136;0.159;0.52
9230C;0;0.273;0
9239C;0.172;0.184;0.195
9222C;0.106;0.217;0.126
9226C;0.212;0.239;0
9307C;0.255;0.286;0
9312C;0.182;0.232;0
9317C;0.393;0.403;0
9321C;0.186;0.227;0
9302C;0.106;0.132;0.587
9303C;0.142;0.146;0.413
9316C;0.116;0.157;0.46
9311C;0.238;0.317;0
9327C;0.113;0.137;0.53
9313C;0.09;0.097;0.592
9315C;0.09;0.11;0.555
9310C;0.24;0.269;0
9305C;0.055;0.064;0.797
9328C;0.072;0.087;0.797
9324C;0.041;0.039;0.856
9301C;0.097;0.123;0.641
9326C;0.1;0.123;0.701
9304C;0.104;0.125;0.589
9309C;0.089;0.142;0.471
9314C;0.044;0.062;0.829
9306C;0.09;0.111;0.626
9421C;0.034;0.051;0.854
9429C;0.217;0.244;0
9422C;0.044;0.047;0.809
9414C;0.009;0.025;0.965
9410C;0.061;0.079;0.734
9411C;0.071;0.096;0.75
9415C;0.058;0.077;0.74
9402C;0.066;0.076;0.715
9404C;0.17;0.205;0.247
9419C;0.082;0.103;0.62
9406C;0.067;0.09;0.779
9423C;0.068;0.095;0.777
9401C;0.072;0.094;0.718
9412C;0.105;0.126;0.556
9420C;0.049;0.067;0.8
9425C;0.081;0.099;0.618
9408C;0.006;0.011;0.983
9430C;0.014;0.005;0.996
9409C;0.008;0.024;0.967
9413C;0.024;0.04;0.903
9424C;0.088;0.112;0.596
9403C;0.136;0.166;0.633
9509C;0.054;0.064;0.783
9519C;0;0.004;1
9503C;0.093;0.111;0.651
9521C;0.212;0.239;0
9507C;0.077;0.101;0.671
9511C;0.218;0.274;0
9516C;0.221;0.249;0
9505C;0.217;0.25;0
9518C;0.018;0.024;0.906
9515C;0.21;0.252;0
9510C;0.165;0.189;0.216
9502C;0.062;0.076;0.733
9501C;0.115;0.264;0
9520C;0.278;0.312;0
9514C;0.097;0.118;0.568
0606F;0.063;0.106;0
0608F;0.016;0.028;0
1302F;0.014;0.026;0
1301F;0.011;0.021;0
1322F;0.073;0.121;0
3101F;0.011;0.021;0
3112F;0.011;0.022;0
3302F;0.008;0.017;0
3301F;0.017;0.032;0
3426F;0.015;0.028;0
3414F;0.013;0.024;0
3412F;0.01;0.02;0
3401F;0.073;0.09;0
3402F;0.013;0.024;0
3403F;0.013;0.024;0
3406F;0.013;0.025;0
3411F;0.01;0.02;0
3424F;0.014;0.027;0
3427F;0.009;0.022;0
3802F;0.014;0.026;0
4213F;0.013;0.024;0
5714F;0.008;0.017;0
6905F;0.011;0.022;0
7503F;0.007;0.015;0
7619F;0.098;0.16;0
8001F;0.043;0.073;0
8307F;0.013;0.025;0
9101F;0.032;0.055;0
9219F;0.014;0.026;0
9225F;0.013;0.024;0
9231F;0.011;0.021;0
9240F;0.011;0.026;0
9234F;0.011;0.023;0
9237F;0.01;0.021;0
9242F;0.011;0.026;0
9235F;0.022;0.039;0
9310F;0.053;0.089;0
9322F;0.006;0.013;0
9425F;0.009;0.019;0
9510F;0.01;0.02;0
